TITLE = "Output for Element 52  "  
VARIABLES = "X","Y","U1", "V1", "V2", "V", "Phi", "q", "S6", "S7", "S8", "S9", "S10"
ZONE N=  760, E= 1412, F=FEPOINT, ET=TRIANGLE
  0.3250E+01  0.8660E-01  0.4252E+01  0.9898E+00 -0.3806E-02  0.9898E+00  0.4255E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3413E+01  0.1500E+00  0.4414E+01  0.9966E+00 -0.5524E-02  0.9966E+00  0.4415E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3413E+01  0.2500E+00  0.4413E+01  0.9968E+00 -0.9884E-02  0.9968E+00  0.4413E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3050E+01  0.8660E-01  0.4055E+01  0.9805E+00 -0.4414E-02  0.9805E+00  0.4055E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3413E+01  0.5500E+00  0.4409E+01  0.9978E+00 -0.1948E-01  0.9980E+00  0.4409E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3413E+01  0.6500E+00  0.4407E+01  0.9982E+00 -0.2180E-01  0.9985E+00  0.4407E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3413E+01  0.7500E+00  0.4404E+01  0.9987E+00 -0.2357E-01  0.9990E+00  0.4404E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3413E+01  0.8500E+00  0.4402E+01  0.9993E+00 -0.2474E-01  0.9996E+00  0.4402E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3413E+01  0.9500E+00  0.4399E+01  0.9998E+00 -0.2530E-01  0.1000E+01  0.4399E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3413E+01  0.1150E+01  0.4394E+01  0.1001E+01 -0.2455E-01  0.1001E+01  0.4394E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3413E+01  0.1250E+01  0.4392E+01  0.1001E+01 -0.2327E-01  0.1002E+01  0.4392E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3150E+01  0.1913E+01  0.4117E+01  0.1014E+01 -0.3844E-02  0.1014E+01  0.4117E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3413E+01  0.1650E+01  0.4384E+01  0.1003E+01 -0.1305E-01  0.1003E+01  0.4384E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3250E+01  0.1913E+01  0.4218E+01  0.1010E+01 -0.3599E-02  0.1010E+01  0.4218E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3413E+01  0.1750E+01  0.4383E+01  0.1003E+01 -0.9594E-02  0.1003E+01  0.4380E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3350E+01  0.1913E+01  0.4319E+01  0.1005E+01 -0.3437E-02  0.1005E+01  0.4326E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2450E+01  0.8660E-01  0.3478E+01  0.9350E+00 -0.9944E-02  0.9351E+00  0.3478E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2450E+01  0.1913E+01  0.3393E+01  0.1060E+01 -0.8485E-02  0.1060E+01  0.3393E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2350E+01  0.8660E-01  0.3385E+01  0.9226E+00 -0.1169E-01  0.9227E+00  0.3385E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2350E+01  0.1913E+01  0.3286E+01  0.1070E+01 -0.9694E-02  0.1070E+01  0.3286E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2250E+01  0.1913E+01  0.3179E+01  0.1082E+01 -0.1108E-01  0.1082E+01  0.3179E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2150E+01  0.8660E-01  0.3204E+01  0.8908E+00 -0.1639E-01  0.8910E+00  0.3204E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2150E+01  0.1913E+01  0.3070E+01  0.1096E+01 -0.1265E-01  0.1096E+01  0.3070E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2050E+01  0.1913E+01  0.2960E+01  0.1111E+01 -0.1442E-01  0.1111E+01  0.2960E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1950E+01  0.8660E-01  0.3030E+01  0.8458E+00 -0.2343E-01  0.8463E+00  0.3030E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1950E+01  0.1913E+01  0.2848E+01  0.1129E+01 -0.1639E-01  0.1129E+01  0.2848E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1850E+01  0.1913E+01  0.2734E+01  0.1149E+01 -0.1856E-01  0.1149E+01  0.2734E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1750E+01  0.1913E+01  0.2618E+01  0.1172E+01 -0.2094E-01  0.1172E+01  0.2618E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.9296E+00  0.5572E+00  0.2162E+01  0.7245E+00 -0.8953E+00  0.1155E+01  0.2161E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1650E+01  0.1913E+01  0.2499E+01  0.1197E+01 -0.2348E-01  0.1198E+01  0.2499E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1550E+01  0.1913E+01  0.2378E+01  0.1226E+01 -0.2617E-01  0.1226E+01  0.2378E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.8705E+00  0.6456E+00  0.2030E+01  0.9170E+00 -0.9768E+00  0.1343E+01  0.2029E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1450E+01  0.1913E+01  0.2254E+01  0.1258E+01 -0.2895E-01  0.1258E+01  0.2254E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1350E+01  0.1913E+01  0.2126E+01  0.1293E+01 -0.3173E-01  0.1293E+01  0.2126E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1250E+01  0.1913E+01  0.1995E+01  0.1331E+01 -0.3441E-01  0.1332E+01  0.1995E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.7278E+00  0.8030E+00  0.1709E+01  0.1340E+01 -0.1029E+01  0.1693E+01  0.1708E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1150E+01  0.1913E+01  0.1860E+01  0.1372E+01 -0.3684E-01  0.1373E+01  0.1860E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1050E+01  0.1913E+01  0.1721E+01  0.1416E+01 -0.3888E-01  0.1417E+01  0.1721E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.9500E+00  0.1913E+01  0.1577E+01  0.1462E+01 -0.4033E-01  0.1463E+01  0.1577E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.5572E+00  0.9296E+00  0.1318E+01  0.1763E+01 -0.9253E+00  0.1993E+01  0.1317E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.7500E+00  0.1913E+01  0.1275E+01  0.1557E+01 -0.4070E-01  0.1558E+01  0.1275E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6500E+00  0.1913E+01  0.1117E+01  0.1604E+01 -0.3924E-01  0.1605E+01  0.1117E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.5500E+00  0.1913E+01  0.9540E+00  0.1648E+01 -0.3649E-01  0.1649E+01  0.9540E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.8660E-01  0.1650E+01  0.1593E+00  0.1836E+01 -0.3313E-01  0.1836E+01  0.1592E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.8660E-01  0.1750E+01  0.1566E+00  0.1803E+01 -0.2290E-01  0.1803E+01  0.1595E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2500E+00  0.1913E+01  0.4428E+00  0.1752E+01 -0.2064E-01  0.1752E+01  0.4388E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1306E+00  0.1901E+01  0.2324E+00  0.1773E+01 -0.1203E-01  0.1773E+01  0.2405E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3500E+00  0.1913E+01  0.6165E+00  0.1723E+01 -0.2694E-01  0.1723E+01  0.6165E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4500E+00  0.1913E+01  0.7872E+00  0.1688E+01 -0.3237E-01  0.1689E+01  0.7872E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.8660E-01  0.1450E+01  0.1683E+00  0.1939E+01 -0.6001E-01  0.1940E+01  0.1682E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.8660E-01  0.1350E+01  0.1753E+00  0.2017E+01 -0.7966E-01  0.2019E+01  0.1751E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2633E+00  0.1051E+01  0.6283E+00  0.2248E+01 -0.5039E+00  0.2306E+01  0.6320E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.8660E-01  0.1250E+01  0.1845E+00  0.2124E+01 -0.1117E+00  0.2128E+01  0.1908E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.9914E-01  0.1128E+01  0.2287E+00  0.2277E+01 -0.1562E+00  0.2283E+01  0.2116E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1590E+00  0.1072E+01  0.3802E+00  0.2321E+01 -0.3199E+00  0.2345E+01  0.4112E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3651E+00  0.1020E+01  0.8691E+00  0.2119E+01 -0.6736E+00  0.2225E+01  0.8687E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4634E+00  0.9797E+00  0.1100E+01  0.1954E+01 -0.8165E+00  0.2119E+01  0.1099E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6456E+00  0.8705E+00  0.1522E+01  0.1556E+01 -0.9969E+00  0.1850E+01  0.1521E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.8030E+00  0.7278E+00  0.1879E+01  0.1125E+01 -0.1022E+01  0.1523E+01  0.1878E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1020E+01  0.3651E+00  0.2362E+01  0.4100E+00 -0.6392E+00  0.7647E+00  0.2361E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1051E+01  0.2633E+00  0.2429E+01  0.3007E+00 -0.4747E+00  0.5693E+00  0.2428E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1150E+01  0.8660E-01  0.2511E+01  0.3053E+00 -0.1235E+00  0.3361E+00  0.2510E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1350E+01  0.8657E-01  0.2596E+01  0.5382E+00 -0.8038E-01  0.5462E+00  0.2596E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3327E+01  0.1300E+01  0.4304E+01  0.1003E+01 -0.2302E-01  0.1003E+01  0.4304E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1118E+01  0.3390E+00  0.2419E+01  0.4701E+00 -0.4823E+00  0.6771E+00  0.2417E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2000E+01  0.1732E+00  0.3070E+01  0.8636E+00 -0.4217E-01  0.8647E+00  0.3070E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3413E+01  0.1550E+01  0.4386E+01  0.1003E+01 -0.1626E-01  0.1003E+01  0.4386E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3327E+01  0.1400E+01  0.4302E+01  0.1004E+01 -0.2085E-01  0.1004E+01  0.4302E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2550E+01  0.1913E+01  0.3498E+01  0.1051E+01 -0.7437E-02  0.1051E+01  0.3498E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2600E+01  0.1732E+00  0.3619E+01  0.9518E+00 -0.1559E-01  0.9519E+00  0.3619E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3100E+01  0.1732E+00  0.4103E+01  0.9835E+00 -0.8310E-02  0.9835E+00  0.4103E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3327E+01  0.2000E+00  0.4327E+01  0.9930E+00 -0.7809E-02  0.9930E+00  0.4319E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3350E+01  0.8660E-01  0.4351E+01  0.9935E+00 -0.3637E-02  0.9936E+00  0.4343E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2900E+01  0.1732E+00  0.3908E+01  0.9731E+00 -0.1032E-01  0.9732E+00  0.3908E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3327E+01  0.7000E+00  0.4319E+01  0.9969E+00 -0.2340E-01  0.9972E+00  0.4319E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2750E+01  0.1913E+01  0.3707E+01  0.1036E+01 -0.5773E-02  0.1036E+01  0.3707E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2850E+01  0.1913E+01  0.3810E+01  0.1029E+01 -0.5132E-02  0.1029E+01  0.3810E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2950E+01  0.1913E+01  0.3913E+01  0.1024E+01 -0.4599E-02  0.1024E+01  0.3913E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3327E+01  0.1700E+01  0.4297E+01  0.1006E+01 -0.1155E-01  0.1006E+01  0.4294E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3200E+01  0.1827E+01  0.4168E+01  0.1012E+01 -0.7334E-02  0.1012E+01  0.4166E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3300E+01  0.1827E+01  0.4269E+01  0.1007E+01 -0.7195E-02  0.1007E+01  0.4278E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3327E+01  0.1200E+01  0.4306E+01  0.1002E+01 -0.2463E-01  0.1003E+01  0.4306E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2100E+01  0.1732E+00  0.3157E+01  0.8851E+00 -0.3530E-01  0.8858E+00  0.3157E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2000E+01  0.1827E+01  0.2906E+01  0.1117E+01 -0.3060E-01  0.1118E+01  0.2906E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1700E+01  0.1827E+01  0.2562E+01  0.1181E+01 -0.4425E-01  0.1182E+01  0.2562E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1500E+01  0.1827E+01  0.2320E+01  0.1238E+01 -0.5505E-01  0.1239E+01  0.2320E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1200E+01  0.1827E+01  0.1933E+01  0.1348E+01 -0.7154E-01  0.1350E+01  0.1933E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.7000E+00  0.1827E+01  0.1202E+01  0.1583E+01 -0.8115E-01  0.1585E+01  0.1202E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.8654E-01  0.1550E+01  0.1630E+00  0.1880E+01 -0.4463E-01  0.1881E+01  0.1630E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1732E+00  0.1700E+01  0.3145E+00  0.1803E+01 -0.5413E-01  0.1804E+01  0.3296E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3000E+00  0.1827E+01  0.5331E+00  0.1747E+01 -0.4863E-01  0.1748E+01  0.5354E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.7631E-01  0.1832E+01  0.1366E+00  0.1786E+01 -0.1296E-01  0.1786E+01  0.1448E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6000E+00  0.1827E+01  0.1041E+01  0.1630E+01 -0.7706E-01  0.1632E+01  0.1041E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1729E+00  0.1400E+01  0.3410E+00  0.1951E+01 -0.1345E+00  0.1956E+01  0.3410E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1728E+00  0.1300E+01  0.3563E+00  0.2033E+01 -0.1807E+00  0.2042E+01  0.3604E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2500E+01  0.1732E+00  0.3524E+01  0.9423E+00 -0.1817E-01  0.9425E+00  0.3524E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1900E+01  0.1827E+01  0.2793E+01  0.1136E+01 -0.3475E-01  0.1136E+01  0.2793E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1079E+01  0.4469E+00  0.2340E+01  0.5782E+00 -0.6109E+00  0.8442E+00  0.2338E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1600E+01  0.1730E+00  0.2749E+01  0.7249E+00 -0.9062E-01  0.7310E+00  0.2749E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1500E+01  0.1730E+00  0.2679E+01  0.6698E+00 -0.1117E+00  0.6799E+00  0.2679E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1700E+01  0.1731E+00  0.2824E+01  0.7699E+00 -0.7413E-01  0.7738E+00  0.2824E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2300E+01  0.1732E+00  0.3338E+01  0.9184E+00 -0.2509E-01  0.9188E+00  0.3338E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2400E+01  0.1827E+01  0.3341E+01  0.1063E+01 -0.1801E-01  0.1063E+01  0.3341E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2650E+01  0.1913E+01  0.3603E+01  0.1043E+01 -0.6538E-02  0.1043E+01  0.3603E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3327E+01  0.6000E+00  0.4321E+01  0.9960E+00 -0.2131E-01  0.9962E+00  0.4321E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3413E+01  0.4500E+00  0.4410E+01  0.9974E+00 -0.1665E-01  0.9975E+00  0.4410E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3200E+01  0.1732E+00  0.4202E+01  0.9882E+00 -0.7713E-02  0.9882E+00  0.4204E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3327E+01  0.3000E+00  0.4326E+01  0.9936E+00 -0.1194E-01  0.9936E+00  0.4322E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3000E+01  0.1732E+00  0.4005E+01  0.9786E+00 -0.9195E-02  0.9786E+00  0.4005E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2700E+01  0.1732E+00  0.3714E+01  0.9599E+00 -0.1347E-01  0.9600E+00  0.3714E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2800E+01  0.1732E+00  0.3811E+01  0.9669E+00 -0.1173E-01  0.9670E+00  0.3811E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3327E+01  0.8000E+00  0.4317E+01  0.9980E+00 -0.2491E-01  0.9983E+00  0.4317E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3327E+01  0.9000E+00  0.4314E+01  0.9990E+00 -0.2580E-01  0.9994E+00  0.4314E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3327E+01  0.1000E+01  0.4311E+01  0.1000E+01 -0.2605E-01  0.1000E+01  0.4311E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3050E+01  0.1913E+01  0.4015E+01  0.1019E+01 -0.4171E-02  0.1019E+01  0.4015E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3413E+01  0.1850E+01  0.4383E+01  0.1003E+01 -0.6239E-02  0.1003E+01  0.4382E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2400E+01  0.1732E+00  0.3430E+01  0.9313E+00 -0.2130E-01  0.9316E+00  0.3430E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3327E+01  0.1100E+01  0.4309E+01  0.1001E+01 -0.2565E-01  0.1002E+01  0.4309E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2300E+01  0.1827E+01  0.3234E+01  0.1074E+01 -0.2059E-01  0.1074E+01  0.3234E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2200E+01  0.1827E+01  0.3126E+01  0.1087E+01 -0.2353E-01  0.1087E+01  0.3126E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2200E+01  0.1732E+00  0.3247E+01  0.9031E+00 -0.2969E-01  0.9037E+00  0.3247E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2100E+01  0.1827E+01  0.3017E+01  0.1101E+01 -0.2686E-01  0.1101E+01  0.3017E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1900E+01  0.1731E+00  0.2985E+01  0.8379E+00 -0.5061E-01  0.8396E+00  0.2985E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1800E+01  0.1731E+00  0.2902E+01  0.8071E+00 -0.6107E-01  0.8096E+00  0.2902E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1800E+01  0.1827E+01  0.2679E+01  0.1157E+01 -0.3931E-01  0.1158E+01  0.2679E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1030E+01  0.5504E+00  0.2239E+01  0.7161E+00 -0.7202E+00  0.1018E+01  0.2238E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1600E+01  0.1827E+01  0.2442E+01  0.1208E+01 -0.4953E-01  0.1209E+01  0.2442E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.9708E+00  0.6487E+00  0.2117E+01  0.8754E+00 -0.8030E+00  0.1190E+01  0.2116E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1400E+01  0.1827E+01  0.2195E+01  0.1271E+01 -0.6069E-01  0.1273E+01  0.2195E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.8256E+00  0.8256E+00  0.1813E+01  0.1236E+01 -0.8771E+00  0.1518E+01  0.1812E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1100E+01  0.1827E+01  0.1796E+01  0.1391E+01 -0.7618E-01  0.1394E+01  0.1796E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
